"ResponseId","geo_zipcode","SWLS","MLQ_P","PRLQ","walkscore_walkscore","walkscore_transitscore","walkscore_bikescore","walkscore_city_name","walkscore_state_name","mobility_city_name","mobility_msa_name","mobility_score","Seg_Rank","Seg_City","Seg_State","Segregation_Divergence_Score","Segregation_Category","ZIP_FIPS","ZIP_Name","ZIP_X3_Digit_Tabulation","ZIP_X5_Digit_Tabulation","ZIP_Area_Name","ZIP_Zipcode_Zone","ZIP_State_Territory","ZIP_Total_Population","ZIP_Population_Density","ZIP_Area","ZIP_Total_Population1","ZIP_Total_Population_Male","ZIP_Total_Population_Female","ZIP_X_Total_Population_Male","ZIP_X_Total_Population_Female","ZIP_Total_Population2","ZIP_Total_Population_Under_5_Years","ZIP_Total_Population_5_to_9_Years","ZIP_Total_Population_10_to_14_Years","ZIP_Total_Population_15_to_17_Years","ZIP_Total_Population_18_to_24_Years","ZIP_Total_Population_25_to_34_Years","ZIP_Total_Population_35_to_44_Years","ZIP_Total_Population_45_to_54_Years","ZIP_Total_Population_55_to_64_Years","ZIP_Total_Population_65_to_74_Years","ZIP_Total_Population_75_to_84_Years","ZIP_Total_Population_85_Years_And_Over","ZIP_X_Total_Population_Under_5_Years","ZIP_X_Total_Population_5_to_9_Years","ZIP_X_Total_Population_10_to_14_Years","ZIP_X_Total_Population_15_to_17_Years","ZIP_X_Total_Population_18_to_24_Years","ZIP_X_Total_Population_25_to_34_Years","ZIP_X_Total_Population_35_to_44_Years","ZIP_X_Total_Population_45_to_54_Years","ZIP_X_Total_Population_55_to_64_Years","ZIP_X_Total_Population_65_to_74_Years","ZIP_X_Total_Population_75_to_84_Years","ZIP_X_Total_Population_85_Years_And_Over","ZIP_Total_Population3","ZIP_Total_Population_White_Alone","ZIP_Total_Population_Black_or.African_American_Alone","ZIP_Total_Population_American_Indian_And_Native_Alaskan_Alone","ZIP_Total_Population_Asian_Alone","ZIP_Total_Population_Native_Hawaiian_And_Other_Pacific_Islander_Alone","ZIP_Total_Population_Some_Other_Race_Alone","ZIP_Total_Population_Two_Or_More_Races","ZIP_X_Total_Population_White_Alone","ZIP_X_Total_Population_Black_or_African_American_Alone","ZIP_X_Total_Population_American_Indian_And_Native_Alaskan_Alone","ZIP_X_Total_Population_Asian_Alone","ZIP_X_Total_Population_Native_Hawaiian_And_Other_Pacific_Islander_Alone","ZIP_X_Total_Population_Some_Other_Race_Alone","ZIP_X_Total_Population_Two_Or_More_Races","ZIP_Households","ZIP_Households_Family_Households","ZIP_Households_Married_Couple_Family","ZIP_Households_Other_Family","ZIP_Households_Male_Householder_No_Wife_Present","ZIP_Households_Female_Householder_No_Husband_Present","ZIP_Households_Nonfamily_Households","ZIP_Nonfamily_Households_Male_Householder","ZIP_Nonfamily_Households_Female_Householder","ZIP_X_Households_Family_Households","ZIP_X_Households_Married_Couple_Family","ZIP_X_Households_Other_Family","ZIP_X_Households_Male_Householder_No_Wife_Present","ZIP_X_Households_Female_Householder_No_Husband_Present","ZIP_X_Households_Nonfamily_Households","ZIP_X_Nonfamily_Households_Male_Householder","ZIP_X_Nonfamily_Households_Female_Householder","ZIP_Median_Household_Income","ZIP_Housing_Units","ZIP_Occupied_Housing_Units","ZIP_Owner_Occupied","ZIP_Renter_Occupied","ZIP_X_Owner_Occupied","ZIP_X_Renter_Occupied","ZIP_Population_With_Poverty_Status","ZIP_Poverty_Status_Under_1.00","ZIP_Poverty_Status_1.00_to_1.99","ZIP_Poverty_Status_Under_2.00","ZIP_Poverty_Status_2.00_and_Over","ZIP_X_Poverty_Status_Under_1.00","ZIP_X_Poverty_Status_1.00_to_1.99","ZIP_X_Poverty_Status_Under_2.00","ZIP_X_Poverty_Status_2.00_and_Over","ZIP_Total_Population_Last","ZIP_Total_Not_Hispanic","ZIP_Total_Not_Hispanic_White_Alone","ZIP_Total_Not_Hispanic_Black_Alone","ZIP_Total_Not_Hispanic_American_Indian_Native_Alaskan_Alone","ZIP_Total_Not_Hispanic_Asian_Alone","ZIP_Total_Not_Hispanic_Native_Hawaiian_Pacific_Islander","ZIP_Total_Not_Hispanic_Other_Race","ZIP_Total_Not_Hispanic_Two_or_More_Races","ZIP_Total_Hispanic","ZIP_X_Not_Hispanic","ZIP_X_Not_Hispanic_White_Alone","ZIP_X_Not_Hispanic_Black_Alone","ZIP_X_Not_Hispanic_American_Indian_Native_Alaskan_Alone","ZIP_X_Not_Hispanic_Asian_Alone","ZIP_X_Not_Hispanic_Native_Hawaiian_Pacific_Islander","ZIP_X_Not_Hispanic_Other_Race","ZIP_X_Not_Hispanic_Two_or_More_Races","ZIP_X_Hispanic"
"R_2BlZC9eCtxly6jg",32789,5.84,6.77,7.61,0.34,0.08,0.91,"Orlando","FL","Orlando city","Orlando-Kissimmee-Sanford_FL Metro Area",0.156,29,"Orlando city"," FL",0.2877,"High Segregation",32789,"ZCTA5 32789",327,32789,"ZCTA5 32789","South East (Around FL)","FL",26741,3427.635,7.80158904211139,26741,12596,14145,47.1,52.9,26741,1033,1134,1086,970,3178,3537,2774,3227,4166,2970,1770,896,3.86,4.24,4.06,3.63,11.88,13.23,10.37,12.07,15.58,11.11,6.62,3.35,26741,21390,1171,42,1302,12,440,2384,79.99,4.38,0.16,4.87,0.04,1.65,8.92,11413,6117,5018,1099,308,791,5296,2216,3080,53.6,43.97,9.63,2.7,6.93,46.4,19.42,26.99,101113,12718,11413,7454,3959,65.31,34.69,24747,1839,2724,4563,20184,7.43,11.01,18.44,81.56,26741,23357,19892,1041,42,1288,12,73,1009,3384,87.35,74.39,3.89,0.16,4.82,0.04,0.27,3.77,12.65
"R_1d9KIbg1iPWgHPX",44142,8.01,2.62,8.19,0.31,0.78,0.66,"Cleveland","OH","Cleveland city","Cleveland-Elyria_OH Metro Area",0.125,6,"Cleveland city"," OH",0.5478,"High Segregation",44142,"ZCTA5 44142",441,44142,"ZCTA5 44142","Great Lakes (Around MI)","OH",18509,2488.78,7.43697654197626,18509,9103,9406,49.18,50.82,18509,1396,896,777,531,1280,2766,1984,2008,2994,1992,1304,581,7.54,4.84,4.2,2.87,6.92,14.94,10.72,10.85,16.18,10.76,7.05,3.14,18509,15417,987,49,625,28,245,1158,83.29,5.33,0.26,3.38,0.15,1.32,6.26,7809,4828,3347,1481,404,1077,2981,1429,1552,61.83,42.86,18.97,5.17,13.79,38.17,18.3,19.87,64046,8099,7809,6264,1545,80.22,19.78,18426,1557,3580,5137,13289,8.45,19.43,27.88,72.12,18509,17267,14794,979,42,625,1,0,826,1242,93.29,79.93,5.29,0.23,3.38,0.01,0,4.46,6.71
"R_2q2dcPDhpeiOnjV",92804,2.88,6.83,6.29,0.91,0.3,0.94,"Anaheim","CA","Anaheim city","Los Angeles-Long Beach-Anaheim_CA Metro Area",0.103,89,"Anaheim city"," CA",0.14,"Low-Medium Segregation",92804,"ZCTA5 92804",928,92804,"ZCTA5 92804","West Coast (includes Hawaii/Alaska)","CA",84700,11887.84,7.12492799194436,84700,40427,44273,47.73,52.27,84700,4707,5039,5370,3548,9016,13045,10396,10598,10947,6484,3578,1972,5.56,5.95,6.34,4.19,10.64,15.4,12.27,12.51,12.92,7.66,4.22,2.33,84700,37166,2938,891,21888,1028,10284,10505,43.88,3.47,1.05,25.84,1.21,12.14,12.4,24586,17634,11828,5806,1924,3882,6952,3079,3873,71.72,48.11,23.62,7.83,15.79,28.28,12.52,15.75,75847,25377,24586,10380,14206,42.22,57.78,82996,12598,15150,27748,55248,15.18,18.25,33.43,66.57,84700,45181,17058,2794,256,21561,1028,51,2433,39519,53.34,20.14,3.3,0.3,25.46,1.21,0.06,2.87,46.66
"R_1lcN0MDI71VWrHT",10001,9.51,2.45,2.21,0.44,0.83,0.51,"Toledo","OH","Toledo city","Toledo_OH Metro Area",0.147,75,"Toledo city"," OH",0.1661,"Low-Medium Segregation",10001,"ZCTA5 10001",100,10001,"ZCTA5 10001","Lower North East (Arond NY)","NY",27004,43273.81,0.624026443365761,27004,12679,14325,46.95,53.05,27004,744,784,942,224,3107,7394,4226,3607,2548,1748,1104,576,2.76,2.9,3.49,0.83,11.51,27.38,15.65,13.36,9.44,6.47,4.09,2.13,27004,15428,2355,25,5031,0,1279,2886,57.13,8.72,0.09,18.63,0,4.74,10.69,14375,4052,2779,1273,168,1105,10323,5382,4941,28.19,19.33,8.86,1.17,7.69,71.81,37.44,34.37,106509,16975,14375,3422,10953,23.81,76.19,25825,4097,2167,6264,19561,15.86,8.39,24.26,75.74,27004,21798,13544,2220,0,5031,0,223,780,5206,80.72,50.16,8.22,0,18.63,0,0.83,2.89,19.28
"R_3svvoXp4GZnhLHb",94118,9.17,7.58,5.31,0.83,0.41,0.73,"San Francisco","CA","San Francisco city","San Francisco-Oakland-Berkeley_CA Metro Area",0.127,66,"San Francisco city"," CA",0.1797,"High Segregation",94118,"ZCTA5 94118",941,94118,"ZCTA5 94118","West Coast (includes Hawaii/Alaska)","CA",40108,20001.38,2.0052614143386,40108,18893,21215,47.11,52.89,40108,1813,1351,1475,1011,3884,8382,6238,4917,4099,3568,2070,1300,4.52,3.37,3.68,2.52,9.68,20.9,15.55,12.26,10.22,8.9,5.16,3.24,40108,20724,595,94,13334,80,1217,4064,51.67,1.48,0.23,33.25,0.2,3.03,10.13,16984,8379,6670,1709,419,1290,8605,3743,4862,49.33,39.27,10.06,2.47,7.6,50.67,22.04,28.63,157143,18938,16984,6085,10899,35.83,64.17,38088,2530,2514,5044,33044,6.64,6.6,13.24,86.76,40108,36048,19442,517,84,13144,80,139,2642,4060,89.88,48.47,1.29,0.21,32.77,0.2,0.35,6.59,10.12
"R_2YAqdAjvFtPk8hQ",10001,5.71,9.23,7.76,0.6,0.45,0.3,"Boston","MA","Boston city","Boston-Cambridge-Newton_MA-NH Metro Area",0.13,20,"Boston city"," MA",0.3333,"High Segregation",10001,"ZCTA5 10001",100,10001,"ZCTA5 10001","Lower North East (Arond NY)","NY",27004,43273.81,0.624026443365761,27004,12679,14325,46.95,53.05,27004,744,784,942,224,3107,7394,4226,3607,2548,1748,1104,576,2.76,2.9,3.49,0.83,11.51,27.38,15.65,13.36,9.44,6.47,4.09,2.13,27004,15428,2355,25,5031,0,1279,2886,57.13,8.72,0.09,18.63,0,4.74,10.69,14375,4052,2779,1273,168,1105,10323,5382,4941,28.19,19.33,8.86,1.17,7.69,71.81,37.44,34.37,106509,16975,14375,3422,10953,23.81,76.19,25825,4097,2167,6264,19561,15.86,8.39,24.26,75.74,27004,21798,13544,2220,0,5031,0,223,780,5206,80.72,50.16,8.22,0,18.63,0,0.83,2.89,19.28
"R_1dH9Tzc9Eb8DqEL",32804,2.77,3.1,1.48,0.75,0.41,0.03,"Orlando","FL","Orlando city","Orlando-Kissimmee-Sanford_FL Metro Area",0.156,29,"Orlando city"," FL",0.2877,"High Segregation",32804,"ZCTA5 32804",328,32804,"ZCTA5 32804","South East (Around FL)","FL",20542,2871.363,7.15409492244752,20542,10525,10017,51.24,48.76,20542,900,916,643,903,1323,4589,2641,2626,3111,1525,860,505,4.38,4.46,3.13,4.4,6.44,22.34,12.86,12.78,15.14,7.42,4.19,2.46,20542,16463,1173,35,696,34,899,1242,80.14,5.71,0.17,3.39,0.17,4.38,6.05,8855,4589,3787,802,155,647,4266,2297,1969,51.82,42.77,9.06,1.75,7.31,48.18,25.94,22.24,108662,9998,8855,5838,3017,65.93,34.07,19784,1299,1772,3071,16713,6.57,8.96,15.52,84.48,20542,17581,15157,1115,10,677,34,307,281,2961,85.59,73.79,5.43,0.05,3.3,0.17,1.49,1.37,14.41
"R_RfpFT7wrQEmpkoV",73008,6.21,8.72,3.54,0.44,0.27,0.61,"Tulsa","OK","Tulsa city","Tulsa_OK Metro Area",0.156,53,"Tulsa city"," OK",0.2118,"High Segregation",73008,"ZCTA5 73008",730,73008,"ZCTA5 73008","Central South (Around TX)","OK",21268,2826.936,7.52333987647819,21268,11057,10211,51.99,48.01,21268,1349,1591,1912,994,2314,3151,2482,2115,2086,1855,1003,416,6.34,7.48,8.99,4.67,10.88,14.82,11.67,9.94,9.81,8.72,4.72,1.96,21268,14976,1641,789,150,5,1122,2585,70.42,7.72,3.71,0.71,0.02,5.28,12.15,7951,5118,3305,1813,663,1150,2833,1322,1511,64.37,41.57,22.8,8.34,14.46,35.63,16.63,19,54925,8744,7951,4229,3722,53.19,46.81,20387,3293,5717,9010,11377,16.15,28.04,44.19,55.81,21268,17196,12935,1618,664,150,0,148,1681,4072,80.85,60.82,7.61,3.12,0.71,0,0.7,7.9,19.15
"R_1E66nbXp3migUBI",32223,2.1,4.4,7.5,0.27,0.11,0.76,"Jacksonville","FL","Jacksonville city","Jacksonville_FL Metro Area",0.165,70,"Jacksonville city"," FL",0.1705,"Low-Medium Segregation",32223,"ZCTA5 32223",322,32223,"ZCTA5 32223","South East (Around FL)","FL",25604,2225.943,11.5025413245158,25604,12607,12997,49.24,50.76,25604,1183,1535,1282,822,1615,2913,2430,3439,4259,3769,1282,1075,4.62,6,5.01,3.21,6.31,11.38,9.49,13.43,16.63,14.72,5.01,4.2,25604,20421,1527,62,792,0,696,2106,79.76,5.96,0.24,3.09,0,2.72,8.23,10348,7703,6084,1619,327,1292,2645,1237,1408,74.44,58.79,15.65,3.16,12.49,25.56,11.95,13.61,90833,10673,10348,8400,1948,81.18,18.82,25504,1836,3135,4971,20533,7.2,12.29,19.49,80.51,25604,23319,19713,1518,0,792,0,186,1110,2285,91.08,76.99,5.93,0,3.09,0,0.73,4.34,8.92
"R_3oFwNwpj7UTUO8n",2111,9.03,3.22,7.99,0.24,0.88,0.82,"Boston","MA","Boston city","Boston-Cambridge-Newton_MA-NH Metro Area",0.13,20,"Boston city"," MA",0.3333,"High Segregation",2111,"ZCTA5 02111",21,2111,"ZCTA5 02111","North East (Around MA)","MA",8417,42942.58,0.19600592744059,8417,4212,4205,50.04,49.96,8417,538,398,271,95,1933,1509,886,810,767,704,306,200,6.39,4.73,3.22,1.13,22.97,17.93,10.53,9.62,9.11,8.36,3.64,2.38,8417,3347,202,27,3958,0,153,730,39.76,2.4,0.32,47.02,0,1.82,8.67,3746,1723,1335,388,72,316,2023,1007,1016,46,35.64,10.36,1.92,8.44,54,26.88,27.12,72321,4679,3746,1056,2690,28.19,71.81,7553,2099,1003,3102,4451,27.79,13.28,41.07,58.93,8417,7570,3047,202,27,3932,0,0,362,847,89.94,36.2,2.4,0.32,46.71,0,0,4.3,10.06
"R_1Lj26dJLSeeZpDt",80906,1.88,6.75,8.12,0.52,0.78,0.4,"Aurora","CO","Aurora city","Denver-Aurora-Lakewood_CO Metro Area",0.168,68,"Aurora city"," CO",0.1756,"Low-Medium Segregation",80906,"ZCTA5 80906",809,80906,"ZCTA5 80906","Western Interior (Around CO)","CO",38732,849.7242,45.581851344485,38732,19116,19616,49.35,50.65,38732,2742,2168,2362,1092,3420,5780,4561,4283,4644,4390,2225,1065,7.08,5.6,6.1,2.82,8.83,14.92,11.78,11.06,11.99,11.33,5.74,2.75,38732,30198,1521,612,1285,151,785,4180,77.97,3.93,1.58,3.32,0.39,2.03,10.79,15445,10832,8602,2230,583,1647,4613,2309,2304,70.13,55.69,14.44,3.77,10.66,29.87,14.95,14.92,83724,16687,15445,9932,5513,64.31,35.69,37555,2804,3957,6761,30794,7.47,10.54,18,82,38732,32004,27339,1462,38,1243,151,101,1670,6728,82.63,70.59,3.77,0.1,3.21,0.39,0.26,4.31,17.37
"R_215vjikECVzJbx2",40210,5.7,8.71,6.02,0.74,0.54,0.62,"Louisville-Jefferson","KY","Louisville/Jefferson","Louisville/Jefferson County_KY-IN Metro Area",0.129,NA,NA,NA,NA,NA,40210,"ZCTA5 40210",402,40210,"ZCTA5 40210","Great Lakes (Around MI)","KY",14980,4719.211,3.17425910853641,14980,6045,8935,40.35,59.65,14980,1147,1608,1197,658,1459,2040,1656,1635,1593,1107,719,161,7.66,10.73,7.99,4.39,9.74,13.62,11.05,10.91,10.63,7.39,4.8,1.07,14980,1350,12750,10,9,4,238,619,9.01,85.11,0.07,0.06,0.03,1.59,4.13,5682,3292,640,2652,277,2375,2390,1089,1301,57.94,11.26,46.67,4.88,41.8,42.06,19.17,22.9,34440,7160,5682,2111,3571,37.15,62.85,14738,5455,3615,9070,5668,37.01,24.53,61.54,38.46,14980,14533,1176,12665,2,9,4,62,615,447,97.02,7.85,84.55,0.01,0.06,0.03,0.41,4.11,2.98
"R_AM1qkZcKAa6Ek13",80013,7.53,1.94,3.2,0.48,0.88,0.28,"Aurora","CO","Aurora city","Denver-Aurora-Lakewood_CO Metro Area",0.168,68,"Aurora city"," CO",0.1756,"Low-Medium Segregation",80013,"ZCTA5 80013",800,80013,"ZCTA5 80013","Western Interior (Around CO)","CO",73870,5296.317,13.9474267834446,73870,36535,37335,49.46,50.54,73870,4625,4844,5593,2932,6604,10673,11261,9130,9340,6557,1744,567,6.26,6.56,7.57,3.97,8.94,14.45,15.24,12.36,12.64,8.88,2.36,0.77,73870,43218,11308,424,4573,103,4884,9360,58.51,15.31,0.57,6.19,0.14,6.61,12.67,25691,19034,13477,5557,1690,3867,6657,3106,3551,74.09,52.46,21.63,6.58,15.05,25.91,12.09,13.82,92076,26592,25691,19787,5904,77.02,22.98,73724,7183,9730,16913,56811,9.74,13.2,22.94,77.06,73870,56522,36072,10937,225,4529,103,243,4413,17348,76.52,48.83,14.81,0.3,6.13,0.14,0.33,5.97,23.48
"R_1obPLDrRZRxVbtS",33710,3.32,4.2,1.94,0.46,0.2,0.53,"St. Petersburg","FL","St. Petersburg city","Tampa-St. Petersburg-Clearwater_FL Metro Area",0.159,42,"St. Petersburg city"," FL",0.2278,"High Segregation",33710,"ZCTA5 33710",337,33710,"ZCTA5 33710","South East (Around FL)","FL",34102,4277.393,7.97261300052355,34102,16390,17712,48.06,51.94,34102,2110,1513,1290,857,2413,3836,4111,4471,5859,4393,2007,1242,6.19,4.44,3.78,2.51,7.08,11.25,12.06,13.11,17.18,12.88,5.89,3.64,34102,27757,1364,9,1849,0,464,2659,81.39,4,0.03,5.42,0,1.36,7.8,14261,8614,6414,2200,430,1770,5647,2683,2964,60.4,44.98,15.43,3.02,12.41,39.6,18.81,20.78,72029,16392,14261,11431,2830,80.16,19.84,33712,2754,5820,8574,25138,8.17,17.26,25.43,74.57,34102,31388,26666,1254,9,1741,0,111,1607,2714,92.04,78.19,3.68,0.03,5.11,0,0.33,4.71,7.96
"R_ugOoSdDaQNTgXbb",2134,3.98,2.71,5.7,0.43,0.43,0.96,"Boston","MA","Boston city","Boston-Cambridge-Newton_MA-NH Metro Area",0.13,20,"Boston city"," MA",0.3333,"High Segregation",2134,"ZCTA5 02134",21,2134,"ZCTA5 02134","North East (Around MA)","MA",17969,14557.7,1.23432927102365,17969,9193,8776,51.16,48.84,17969,163,327,368,349,4494,7585,1869,702,913,733,177,289,0.91,1.82,2.05,1.94,25.01,42.21,10.4,3.91,5.08,4.08,0.99,1.61,17969,10829,985,101,4129,0,737,1188,60.26,5.48,0.56,22.98,0,4.1,6.61,8058,2171,1454,717,154,563,5887,2834,3053,26.94,18.04,8.9,1.91,6.99,73.06,35.17,37.89,80027,8839,8058,1138,6920,14.12,85.88,17869,3820,3226,7046,10823,21.38,18.05,39.43,60.57,17969,16247,10513,855,41,4035,0,114,689,1722,90.42,58.51,4.76,0.23,22.46,0,0.63,3.83,9.58
"R_1LTIjDdRtDlB1oS",33703,5.39,8.6,5.06,0.27,0.56,0.5,"St. Petersburg","FL","St. Petersburg city","Tampa-St. Petersburg-Clearwater_FL Metro Area",0.159,42,"St. Petersburg city"," FL",0.2278,"High Segregation",33703,"ZCTA5 33703",337,33703,"ZCTA5 33703","South East (Around FL)","FL",25900,5162.678,5.01677575340117,25900,12609,13291,48.68,51.32,25900,1278,1263,1535,823,1613,3119,3711,3607,3805,3137,1446,563,4.93,4.88,5.93,3.18,6.23,12.04,14.33,13.93,14.69,12.11,5.58,2.17,25900,21199,1754,87,834,0,530,1496,81.85,6.77,0.34,3.22,0,2.05,5.78,11011,6646,5331,1315,318,997,4365,1932,2433,60.36,48.42,11.94,2.89,9.05,39.64,17.55,22.1,98289,12162,11011,8719,2292,79.18,20.82,25536,1282,2371,3653,21883,5.02,9.28,14.31,85.69,25900,23509,19865,1744,87,813,0,210,790,2391,90.77,76.7,6.73,0.34,3.14,0,0.81,3.05,9.23
"R_2z8R0hJdxobpcHi",85641,4.88,5.22,8.54,0.14,0.12,0.69,"Tucson","AZ","Tucson city","Tucson_AZ Metro Area",0.181,87,"Tucson city"," AZ",0.1406,"Low-Medium Segregation",85641,"ZCTA5 85641",856,85641,"ZCTA5 85641","Western Interior (Around CO)","AZ",30638,89.21582,343.414421997322,30638,16182,14456,52.82,47.18,30638,2099,2439,2569,1130,2216,2830,4723,5110,3223,2875,1232,192,6.85,7.96,8.39,3.69,7.23,9.24,15.42,16.68,10.52,9.38,4.02,0.63,30638,22899,1483,290,739,0,1395,3832,74.74,4.84,0.95,2.41,0,4.55,12.51,10447,8411,7573,838,348,490,2036,1268,768,80.51,72.49,8.02,3.33,4.69,19.49,12.14,7.35,114201,10872,10447,9807,640,93.87,6.13,30545,1459,2081,3540,27005,4.78,6.81,11.59,88.41,30638,23750,19826,1395,189,729,0,66,1545,6888,77.52,64.71,4.55,0.62,2.38,0,0.22,5.04,22.48
"R_3NEYNueNF1hwCtm",32218,6.65,8.72,6.9,0.03,0.73,0.09,"Jacksonville","FL","Jacksonville city","Jacksonville_FL Metro Area",0.165,70,"Jacksonville city"," FL",0.1705,"Low-Medium Segregation",32218,"ZCTA5 32218",322,32218,"ZCTA5 32218","South East (Around FL)","FL",68996,713.8646,96.6513759909312,68996,33248,35748,48.19,51.81,68996,4745,4766,5707,3384,5365,9951,8740,9326,8407,5281,2560,764,6.88,6.91,8.27,4.9,7.78,14.42,12.67,13.52,12.18,7.65,3.71,1.11,68996,26968,33669,116,1382,17,2817,4027,39.09,48.8,0.17,2,0.02,4.08,5.84,24313,16972,11448,5524,935,4589,7341,3082,4259,69.81,47.09,22.72,3.85,18.87,30.19,12.68,17.52,64298,26939,24313,15485,8828,63.69,36.31,67776,9306,14055,23361,44415,13.73,20.74,34.47,65.53,68996,64195,25273,33487,98,1382,17,1170,2768,4801,93.04,36.63,48.53,0.14,2,0.02,1.7,4.01,6.96
"R_SC7BslKDrZzIQBX",50312,6.76,3.12,3.78,0.37,0.71,0.32,"Des Moines","IA","Des Moines city","Des Moines-West Des Moines_IA Metro Area",0.15,92,"Des Moines city"," IA",0.1284,"Low-Medium Segregation",50312,"ZCTA5 50312",503,50312,"ZCTA5 50312","Northern Midwest (Around MN)","Other",15498,2752.733,5.63004114304777,15498,8080,7418,52.14,47.86,15498,676,933,820,542,960,2593,2150,1923,1665,1681,806,749,4.36,6.02,5.29,3.5,6.19,16.73,13.87,12.41,10.74,10.85,5.2,4.83,15498,13225,459,76,804,0,228,706,85.33,2.96,0.49,5.19,0,1.47,4.56,7748,3557,2974,583,211,372,4191,2201,1990,45.91,38.38,7.52,2.72,4.8,54.09,28.41,25.68,77612,8227,7748,5036,2712,65,35,15166,1369,1653,3022,12144,9.03,10.9,19.93,80.07,15498,14455,12913,459,5,699,0,28,351,1043,93.27,83.32,2.96,0.03,4.51,0,0.18,2.26,6.73
"R_3PFUJI1m0AZp4nW",43605,7.43,8.87,4.47,0.29,0.88,0.82,"Toledo","OH","Toledo city","Toledo_OH Metro Area",0.147,75,"Toledo city"," OH",0.1661,"Low-Medium Segregation",43605,"ZCTA5 43605",436,43605,"ZCTA5 43605","Great Lakes (Around MI)","OH",24937,3476.781,7.17243786457698,24937,11547,13390,46.3,53.7,24937,2264,2093,1624,1027,2428,4009,3363,2725,3075,1355,640,334,9.08,8.39,6.51,4.12,9.74,16.08,13.49,10.93,12.33,5.43,2.57,1.34,24937,15034,3636,88,145,6,2623,3405,60.29,14.58,0.35,0.58,0.02,10.52,13.65,9954,5869,2329,3540,755,2785,4085,2059,2026,58.96,23.4,35.56,7.58,27.98,41.04,20.69,20.35,34221,11986,9954,4712,5242,47.34,52.66,24765,9086,6414,15500,9265,36.69,25.9,62.59,37.41,24937,19521,13840,3509,23,145,6,48,1950,5416,78.28,55.5,14.07,0.09,0.58,0.02,0.19,7.82,21.72
"R_TcnU29Kh21CWcMN",45211,4.09,8.75,7.66,0.14,0.71,0.41,"Cincinnati","OH","Cincinnati city","Cincinnati_OH-KY-IN Metro Area",0.139,26,"Cincinnati city"," OH",0.3006,"High Segregation",45211,"ZCTA5 45211",452,45211,"ZCTA5 45211","Great Lakes (Around MI)","OH",37303,4138.316,9.01405180255661,37303,18637,18666,49.96,50.04,37303,2831,3091,2836,1878,2318,6114,5264,5040,3837,2463,1173,458,7.59,8.29,7.6,5.03,6.21,16.39,14.11,13.51,10.29,6.6,3.14,1.23,37303,19745,13905,45,688,15,91,2814,52.93,37.28,0.12,1.84,0.04,0.24,7.54,15304,8211,3942,4269,1172,3097,7093,3820,3273,53.65,25.76,27.89,7.66,20.24,46.35,24.96,21.39,51235,17120,15304,7762,7542,50.72,49.28,36413,6414,8298,14712,21701,17.61,22.79,40.4,59.6,37303,35617,19269,13900,45,688,15,43,1657,1686,95.48,51.66,37.26,0.12,1.84,0.04,0.12,4.44,4.52
"R_1GPTsEAQGDJeM9A",33702,2.92,8.93,4.71,0.65,0.54,0.62,"St. Petersburg","FL","St. Petersburg city","Tampa-St. Petersburg-Clearwater_FL Metro Area",0.159,42,"St. Petersburg city"," FL",0.2278,"High Segregation",33702,"ZCTA5 33702",337,33702,"ZCTA5 33702","South East (Around FL)","FL",31119,2997.144,10.3828851716687,31119,15089,16030,48.49,51.51,31119,1495,1198,1277,741,2314,5377,3781,3670,4958,3655,1885,768,4.8,3.85,4.1,2.38,7.44,17.28,12.15,11.79,15.93,11.75,6.06,2.47,31119,23893,2055,144,1277,0,512,3238,76.78,6.6,0.46,4.1,0,1.65,10.41,14135,7277,5356,1921,445,1476,6858,3401,3457,51.48,37.89,13.59,3.15,10.44,48.52,24.06,24.46,62271,16450,14135,9227,4908,65.28,34.72,30681,3732,4570,8302,22379,12.16,14.9,27.06,72.94,31119,27746,22943,1993,22,1277,0,157,1354,3373,89.16,73.73,6.4,0.07,4.1,0,0.5,4.35,10.84
"R_2qkJaoICkd7lbYS",33130,1.98,8.91,5.31,0.84,0.15,0.9,"Miami","FL","Miami city","Miami-Fort Lauderdale-Pompano Beach_FL Metro Area",0.129,9,"Miami city"," FL",0.4074,"High Segregation",33130,"ZCTA5 33130",331,33130,"ZCTA5 33130","South East (Around FL)","FL",32946,30122.12,1.09374792470081,32946,18011,14935,54.67,45.33,32946,1279,1226,701,584,2652,7892,5062,4649,3706,2532,1933,730,3.88,3.72,2.13,1.77,8.05,23.95,15.36,14.11,11.25,7.69,5.87,2.22,32946,18137,1323,257,751,0,1992,10486,55.05,4.02,0.78,2.28,0,6.05,31.83,16915,7419,4290,3129,1195,1934,9496,5265,4231,43.86,25.36,18.5,7.06,11.43,56.14,31.13,25.01,55285,19910,16915,2120,14795,12.53,87.47,32744,7207,7686,14893,17851,22.01,23.47,45.48,54.52,32946,7856,5239,1023,78,739,0,40,737,25090,23.85,15.9,3.11,0.24,2.24,0,0.12,2.24,76.15
